Participant,Overall,RecommendHiring,StructuredAnswers
p1,5.29731562336,5.10622414048,4.89158004615
p3,4.41489217175,4.43306990037,3.9121988684
p4,4.49449445111,4.5301287215,4.68837924196
p5,5.45767015187,5.57155799998,5.58251442294
p6,5.10651231715,4.8314817722,4.82624462496
p7,5.79930374281,5.47346734645,5.57242669885
p8,4.82408236307,4.74289539148,4.57497972608
p10,4.7251152548,4.45935470754,3.57596013125
p11,5.01043000317,4.5328038921,4.81446592015
p12,5.0385258973,4.92522086241,4.3189479661
p13,4.2512513498,4.3255215907,4.91606339181
p14,5.80135366035,5.92049301639,5.67303503772
p15,4.62531884309,3.96372317208,3.90089704833
p16,5.18199437371,5.34720093792,4.62732782069
p17,4.33230466054,3.86705198033,4.52388447566
p20,4.23654567617,3.84469388924,3.7256960304
p21,3.33252171655,3.24399530193,2.80873146245
p22,5.29356410776,4.97891595559,4.75560066436
p24,5.77173303692,6.01571666404,4.85459639205
p25,5.01663651881,4.86769721353,4.65014861926
p27,5.20000084069,4.74608220442,5.35963065424
p29,5.19001740281,5.10441311797,5.01152235113
p30,3.64357955615,3.18966091988,3.59713349546
p31,4.57767820678,4.53062038369,4.72572824874
p32,6.29487349634,6.14885632085,5.39823147181
p33,5.27781577806,5.01738726928,5.07688543471
p34,5.49048991179,5.56476015269,4.50915597265
p35,5.63083569831,5.43390989428,4.95273468811
p37,5.23256840388,5.26780385079,4.87347827118
p42,5.10850302686,5.10047999776,3.83849946468
p43,5.68396192871,5.62165683625,5.56130636558
p44,4.54177925324,4.52752307952,4.38128014733
p45,5.57853469676,5.65863925881,5.16626547469
p47,3.86221407333,3.56075094943,3.41600800958
p48,4.43873711683,4.16714224842,4.14381035699
p49,5.18459422869,4.96138468252,3.70412090811
p50,5.39458815516,4.96311876101,5.02627199859
p52,3.99119106751,3.61703113085,4.32473587626
p53,5.18476589488,5.31944902643,4.71024567086
p55,4.88530504599,4.65076145587,4.72967036809
p56,4.58982164764,3.77438347974,4.14499718593
p57,6.5809709482,6.64721816,6.02620075772
p58,4.19910095687,4.36246647518,4.47985241982
p59,4.49571678482,4.22945395489,3.89183885372
p60,4.86537928843,4.83159600236,4.07119407478
p61,4.19482840999,3.59748012965,4.44701561752
p62,4.71919794922,4.71117492012,3.9826335406
p63,5.08307917339,4.4754932091,3.76316841209
p64,4.73896974042,4.87605151658,3.69357836245
p65,5.22422953574,5.23406839622,4.63501493131
p66,5.51747657291,5.82285472738,4.51540977032
p67,5.83677449761,5.24203005412,4.43546976733
p69,3.77064029362,3.78881802224,4.0394536969
p70,4.70074076,4.29815146031,5.08800063289
p71,4.8643857389,4.9386559798,4.72711816786
